REF_DATE,GEO,DGUID,Capital and repair expenditures,North American Industry Classification System (NAICS),UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS,year
2006,Canada,2021A000011124,Repair expenditures,Fabricated metal product manufacturing [332],Dollars,81,millions,6,v95923743,1.4.30,325.0,,,,1,2006
2006,Canada,2021A000011124,Repair expenditures,Machinery manufacturing [333],Dollars,81,millions,6,v95923744,1.4.31,234.3,,,,1,2006
2006,Canada,2021A000011124,Repair expenditures,Transportation and warehousing [48-49],Dollars,81,millions,6,v95923752,1.4.39,6360.7,,,,1,2006
2006,Canada,2021A000011124,Repair expenditures,"Professional, scientific and technical services [54]",Dollars,81,millions,6,v95923756,1.4.43,399.5,,,,1,2006
2006,Canada,2021A000011124,"Repair, construction",Oil and gas extraction [211],Dollars,81,millions,6,v95923776,1.5.9,882.0,,,,1,2006
2006,Canada,2021A000011124,"Repair, construction","Support activities for mining, and oil and gas extraction [213]",Dollars,81,millions,6,v95923778,1.5.11,25.8,,,,1,2006
2006,Canada,2021A000011124,"Repair, construction",Construction [23],Dollars,81,millions,6,v95923780,1.5.13,116.5,,,,1,2006
2006,Canada,2021A000011124,"Repair, construction",Manufacturing [31-33],Dollars,81,millions,6,v95923781,1.5.14,1155.9,,,,1,2006
2006,Canada,2021A000011124,"Repair, construction",Petroleum and coal product manufacturing [324],Dollars,81,millions,6,v95923792,1.5.25,45.0,,,,1,2006
2006,Canada,2021A000011124,"Repair, construction",Primary metal manufacturing [331],Dollars,81,millions,6,v95923796,1.5.29,242.3,,,,1,2006
2006,Canada,2021A000011124,"Repair, construction",Fabricated metal product manufacturing [332],Dollars,81,millions,6,v95923797,1.5.30,33.7,,,,1,2006
2006,Canada,2021A000011124,"Repair, construction",Machinery manufacturing [333],Dollars,81,millions,6,v95923798,1.5.31,60.2,,,,1,2006
2006,Canada,2021A000011124,"Repair, construction",Transportation and warehousing [48-49],Dollars,81,millions,6,v95923806,1.5.39,1759.2,,,,1,2006
2006,Canada,2021A000011124,"Repair, construction","Professional, scientific and technical services [54]",Dollars,81,millions,6,v95923810,1.5.43,89.8,,,,1,2006
2006,Canada,2021A000011124,"Repair, machinery and equipment",Oil and gas extraction [211],Dollars,81,millions,6,v95923830,1.6.9,1628.0,,,,1,2006
2006,Canada,2021A000011124,"Repair, machinery and equipment","Support activities for mining, and oil and gas extraction [213]",Dollars,81,millions,6,v95923832,1.6.11,713.7,,,,1,2006
2006,Canada,2021A000011124,"Repair, machinery and equipment",Construction [23],Dollars,81,millions,6,v95923834,1.6.13,1918.0,,,,1,2006
2006,Canada,2021A000011124,"Repair, machinery and equipment",Manufacturing [31-33],Dollars,81,millions,6,v95923835,1.6.14,9214.2,,,,1,2006
2006,Canada,2021A000011124,"Repair, machinery and equipment",Petroleum and coal product manufacturing [324],Dollars,81,millions,6,v95923846,1.6.25,559.7,,,,1,2006
2006,Canada,2021A000011124,"Repair, machinery and equipment",Primary metal manufacturing [331],Dollars,81,millions,6,v95923850,1.6.29,1661.6,,,,1,2006
2006,Canada,2021A000011124,"Repair, machinery and equipment",Fabricated metal product manufacturing [332],Dollars,81,millions,6,v95923851,1.6.30,291.3,,,,1,2006
2006,Canada,2021A000011124,"Repair, machinery and equipment",Machinery manufacturing [333],Dollars,81,millions,6,v95923852,1.6.31,174.1,,,,1,2006
2006,Canada,2021A000011124,"Repair, machinery and equipment",Transportation and warehousing [48-49],Dollars,81,millions,6,v95923860,1.6.39,4601.5,,,,1,2006
2006,Canada,2021A000011124,"Repair, machinery and equipment","Professional, scientific and technical services [54]",Dollars,81,millions,6,v95923864,1.6.43,309.7,,,,1,2006
2006,Newfoundland and Labrador,2021A000210,Capital expenditures,Oil and gas extraction [211],Dollars,81,millions,6,v95923884,2.1.9,779.0,,,,1,2006
2006,Newfoundland and Labrador,2021A000210,Capital expenditures,"Support activities for mining, and oil and gas extraction [213]",Dollars,81,millions,6,v95923886,2.1.11,36.4,,,,1,2006
2006,Newfoundland and Labrador,2021A000210,Capital expenditures,Construction [23],Dollars,81,millions,6,v95923888,2.1.13,46.0,,,,1,2006
2006,Newfoundland and Labrador,2021A000210,Capital expenditures,Manufacturing [31-33],Dollars,81,millions,6,v95923889,2.1.14,140.5,,,,1,2006
2006,Newfoundland and Labrador,2021A000210,Capital expenditures,Petroleum and coal product manufacturing [324],Dollars,81,millions,6,v95923900,2.1.25,,..,,,1,2006
2006,Newfoundland and Labrador,2021A000210,Capital expenditures,Primary metal manufacturing [331],Dollars,81,millions,6,v95923904,2.1.29,,..,,,1,2006
2006,Newfoundland and Labrador,2021A000210,Capital expenditures,Fabricated metal product manufacturing [332],Dollars,81,millions,6,v95923905,2.1.30,,..,,,1,2006
2006,Newfoundland and Labrador,2021A000210,Capital expenditures,Machinery manufacturing [333],Dollars,81,millions,6,v95923906,2.1.31,,..,,,1,2006
2006,Newfoundland and Labrador,2021A000210,Capital expenditures,Transportation and warehousing [48-49],Dollars,81,millions,6,v95923914,2.1.39,113.0,,,,1,2006
2006,Newfoundland and Labrador,2021A000210,Capital expenditures,"Professional, scientific and technical services [54]",Dollars,81,millions,6,v95923918,2.1.43,,x,,,1,2006
2006,Newfoundland and Labrador,2021A000210,"Capital, construction",Oil and gas extraction [211],Dollars,81,millions,6,v95923938,2.2.9,,x,,,1,2006
2006,Newfoundland and Labrador,2021A000210,"Capital, construction","Support activities for mining, and oil and gas extraction [213]",Dollars,81,millions,6,v95923940,2.2.11,1.4,,,,1,2006
2006,Newfoundland and Labrador,2021A000210,"Capital, construction",Construction [23],Dollars,81,millions,6,v95923942,2.2.13,6.5,,,,1,2006
2006,Newfoundland and Labrador,2021A000210,"Capital, construction",Manufacturing [31-33],Dollars,81,millions,6,v95923943,2.2.14,,x,,,1,2006
2006,Newfoundland and Labrador,2021A000210,"Capital, construction",Petroleum and coal product manufacturing [324],Dollars,81,millions,6,v95923954,2.2.25,,..,,,1,2006
2006,Newfoundland and Labrador,2021A000210,"Capital, construction",Primary metal manufacturing [331],Dollars,81,millions,6,v95923958,2.2.29,,..,,,1,2006
2006,Newfoundland and Labrador,2021A000210,"Capital, construction",Fabricated metal product manufacturing [332],Dollars,81,millions,6,v95923959,2.2.30,,..,,,1,2006
2006,Newfoundland and Labrador,2021A000210,"Capital, construction",Machinery manufacturing [333],Dollars,81,millions,6,v95923960,2.2.31,,..,,,1,2006
2006,Newfoundland and Labrador,2021A000210,"Capital, construction",Transportation and warehousing [48-49],Dollars,81,millions,6,v95923968,2.2.39,22.6,,,,1,2006
2006,Newfoundland and Labrador,2021A000210,"Capital, construction","Professional, scientific and technical services [54]",Dollars,81,millions,6,v95923972,2.2.43,,x,,,1,2006
2006,Newfoundland and Labrador,2021A000210,"Capital, machinery and equipment",Oil and gas extraction [211],Dollars,81,millions,6,v95923992,2.3.9,,x,,,1,2006
2006,Newfoundland and Labrador,2021A000210,"Capital, machinery and equipment","Support activities for mining, and oil and gas extraction [213]",Dollars,81,millions,6,v95923994,2.3.11,35.0,,,,1,2006
